,0,inv_costs,sim_name
0,3702758.711922563,0.0,a
1,3736115.8938117656,33534.18370248659,a
2,3706372.6458067386,4269.46568706955,a
3,3713240.7472313643,28238.928119474134,a
4,3695569.710051368,2606.7362720298993,a
5,3732157.777168615,37803.649389556136,a
6,3741580.4714234318,61773.11182196073,a
7,3723251.36705756,36140.91997451649,a
8,3702406.5320810373,32508.393806543685,a
9,3693438.559632373,6876.2019590994505,a
10,3701199.74526355,30845.664391504033,a
11,3739281.8200949035,66042.57750903028,a
12,3721502.7325918265,40410.38566158604,a
13,3735168.2207056363,64379.84809399062,a
14,3698189.094973789,35115.13007857359,a
15,3729116.4807568467,68649.31378106018,a
