"Coal shipments to the electric power sector: price, by plant state",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.Q&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.Q&map=COAL.SHIP_PLANT_PRICE.US-TOT.Q&freq=Q&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu Mar 02 2023 17:51:00 GMT-0600 (Central Standard Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,units,source key,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022
All coal : New York,$/short ton,COAL.SHIP_PLANT_PRICE.NY-TOT.Q,55.9,54.63,58.82,59.43,57.72,63.38,61.18,56.22,60.23,78.01,64.14,68.11,67.76,74.52,69.52,74.37,66.26,74.53,65.79,69.3,66.17,64.5,64.26,67.59,66,68.24,62.24,66.78,59.06,57.77,62.77,57.65,--,63.7,58.26,62.5,64.07,73.82,49.12,123.01,83.67,59.49,60.35,62.13,75.57,--,--,56.72,--,--,--,--,--,--,--,--,--,--,--
All coal : Pennsylvania,$/short ton,COAL.SHIP_PLANT_PRICE.PA-TOT.Q,44.2,44.88,49.24,47.56,51.36,51.1,49.76,47.96,53.73,52.82,54.88,51.64,57.52,57.1,57.03,54.18,56.24,52.52,52.45,53.69,57.55,55.53,55.01,54.51,60.17,54.12,52.61,53.06,55.22,51.49,50.27,45.35,47.84,46.49,44.91,44.76,40.91,41.22,38.56,40.47,51.38,44.02,39.63,40.71,42.49,39.13,39.73,35.97,35.12,26.8,30.27,28.53,37.77,39.8,40.6,42.06,65.68,62.64,68.85
All coal : East North Central,$/short ton,COAL.SHIP_PLANT_PRICE.ENC-TOT.Q,36.36,38.21,38.3,38.75,42.39,41.43,39.73,40.64,41.3,41.28,40.94,41.02,44.28,46.69,47.1,45.83,47.68,47.41,47.61,47.44,46.27,46.18,45.16,45.69,47.04,46.75,47.03,46.46,44.74,44.21,43.27,42.84,43.12,42.59,42.5,41.42,40.98,41.38,40.21,40.46,39.73,39.73,39.61,40.29,41.61,39.76,40.03,39.64,39.69,38.39,38.54,38.24,37.57,38.72,39.33,39.93,43.14,44.61,47.72
All coal : Illinois,$/short ton,COAL.SHIP_PLANT_PRICE.IL-TOT.Q,27.86,27.83,27.92,27.5,28.64,28.47,28.56,28.59,30.08,29.79,29.49,29.7,30.03,30.39,31.08,29.73,34.63,33.55,34.57,34.22,33.71,33.69,32.64,32.93,34.76,35.26,35.62,34.14,34.67,33.23,33.93,33.25,32.14,32.67,31.6,29.38,32.01,31.63,31.48,30.6,31.59,30.96,30.25,31.91,33.44,31.78,31.53,30.16,30.48,26.86,28.9,28.33,27.96,29.32,29.41,29.66,33.96,32.86,33.02
All coal : Indiana,$/short ton,COAL.SHIP_PLANT_PRICE.IN-TOT.Q,37.1,39.23,41.78,42.73,42.9,42.14,41.29,42.11,43.3,45.05,44.44,46.22,50.95,52.55,54.27,52.83,55.49,57.14,55.37,55.86,56.07,55.91,55.11,55.58,58.01,56.2,56.14,54.9,52.37,51.05,50.83,50.61,50.52,49.38,50.32,50.59,48.1,49.54,47.37,47.2,47.42,46.65,46.99,46.99,48.06,47.21,47.1,45.73,46.74,45.95,45.72,47,47.63,49,50.66,53.43,56.84,58.83,63.54
All coal : Michigan,$/short ton,COAL.SHIP_PLANT_PRICE.MI-TOT.Q,40.37,37.99,37.52,37.36,44.6,36.91,38.5,40.35,43.89,40.49,39.19,40.63,51.66,51.82,52.63,51.04,54.79,52.11,54.04,51.24,53.4,50.07,49.19,48.84,51.18,48.41,47.99,51.51,48.8,45.7,43.66,43.7,44.25,41.58,42.36,42.07,41.51,40.38,39.73,41.54,40.27,39.77,40.06,40.03,39.32,39.4,39.25,40.43,37.82,41.89,38.72,38.44,38.29,38.58,39.18,39.32,41.16,44.08,47.02
All coal : Ohio,$/short ton,COAL.SHIP_PLANT_PRICE.OH-TOT.Q,44.3,47.13,47.51,48.59,57.8,57.83,54.62,54.52,52.47,51.12,51.84,51.35,56.27,57.23,59.23,58.59,59.88,59.88,59.32,59.05,54.95,54.55,54.19,54.67,56.08,55.14,55.68,56.26,54.04,53.98,53.16,53.05,51.32,51.04,49.82,50.09,47.66,47.12,47.48,46.7,44.89,44.45,45.21,45.89,46.56,43.46,44.76,43.86,44.67,44.49,44.79,42.93,40.82,40.3,41.64,43.03,43.47,42.67,49.4
All coal : Wisconsin,$/short ton,COAL.SHIP_PLANT_PRICE.WI-TOT.Q,30.62,34.37,36.74,35.61,32.55,37.59,35.42,34.55,35.17,36.43,38.33,38.77,44.29,46.09,46.34,45.03,39.99,41.95,44.13,42.3,39.66,42.14,42.2,42.29,40.84,43.56,43.06,40.36,41.65,41.92,39.77,38.07,38.18,39.2,41.11,39.21,40.55,40.4,39.37,37.89,39.24,40.61,41.06,40.87,40.32,40.03,39.64,40.03,37.44,36.33,33.74,34.34,35.5,36.79,38.32,36.93,41.26,43.62,45.25
All coal : West North Central,$/short ton,COAL.SHIP_PLANT_PRICE.WNC-TOT.Q,22.09,22.12,22.8,22.64,23.09,23.65,23.54,23.28,24.29,25.09,25,25.08,26.6,27.73,27.81,27.21,28.49,29.08,28.82,28.69,29.59,29.8,29.18,28.68,29.31,30.4,30.17,29.21,30.25,28.53,28.51,27.53,28.59,28.69,28.66,28.26,29.2,29.92,28.61,28.49,28.72,28.2,28.18,27.97,26.93,27.26,26.58,26.84,25.84,25.98,25.42,25.49,25.16,26.36,26.35,27.76,29.38,30.69,30.46
All coal : Iowa,$/short ton,COAL.SHIP_PLANT_PRICE.IA-TOT.Q,19.35,20,20.62,20.65,20.61,21.76,21.05,20.82,21.75,22.88,23.37,22.71,23.15,24.79,24.69,24.84,24.95,25.37,25.34,25.39,28.77,28.66,28.55,28.64,28.58,28.88,28.63,29.16,29.24,28.33,28.81,26.93,28.3,28.69,28.08,27.07,29.78,30.01,29.16,28.08,29.6,29.49,28.46,26.84,27.74,27.02,26.91,26.84,26.57,26.51,26.62,26.15,25.94,27.27,28,30.33,30.3,31.54,33.53
