,0,inv_costs,sim_name
0,4401453.645733236,0.0,e
1,4425147.009775192,3353.418370248659,e
2,4413945.0968140485,426.946568706955,e
3,4383581.064939691,2823.8928119474135,e
4,4362375.074092726,260.6736272029899,e
5,4382968.318691697,3780.364938955614,e
6,4399747.558839566,6177.311182196073,e
7,4383520.599351251,3614.0919974516487,e
8,4373493.085825893,3250.8393806543686,e
9,4353024.672380062,687.620195909945,e
10,4356263.102592639,3084.5664391504033,e
11,4382768.880939279,6604.257750903028,e
12,4352962.590253007,4041.0385661586038,e
13,4369605.145175631,6437.984809399062,e
14,4361186.1615063,3511.5130078573584,e
15,4355011.395883349,6864.931378106017,e
