,0,inv_costs,sim_name
0,3702758.711922563,0.0,a
1,3705935.128479528,3353.418370248659,a
2,3702530.126688376,426.946568706955,a
3,3687825.7119238377,2823.8928119474135,a
4,3693223.647406541,260.6736272029899,a
5,3698134.4927180144,3780.364938955614,a
6,3685984.6707836674,6177.311182196073,a
7,3690724.539080495,3614.0919974516487,a
8,3673148.977655148,3250.8393806543686,a
9,3687249.9778691833,687.620195909945,a
10,3673438.647311196,3084.5664391504033,a
11,3679843.5003367765,6604.257750903028,a
12,3685133.385496399,4041.0385661586038,a
13,3677226.3574210447,6437.984809399062,a
14,3666585.4779030727,3511.5130078573584,a
15,3667332.0983538926,6864.931378106017,a
