"Emissions by Inventory Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Energy,5325.587446,5281.645655,5386.948886,5478.995349,5566.579412,5611.813836,5800.346655,5871.291242,5910.410896,5970.029016,6176.597693,6089.505235,6120.717403,6190.240326,6285.299951,6302.25801,6221.030447,6290.185931,6098.344795,5693.565631,5861.733892,5708.287703,5494.158474,5635.294608,5675.499808,5519.818095,5390.865115,5351.002269,5518.135678,5392.27224
Agriculture,555.3427851,546.5886233,547.3590532,575.373861,562.2476279,574.598748,581.8689899,570.0345966,578.0899403,571.1741267,556.8808679,576.2991753,578.2742297,577.0259031,584.4567103,577.0931523,572.5305808,592.359866,584.7848359,588.1640052,596.3340144,577.4582976,559.8247848,600.5282623,610.0383001,616.0969675,604.414225,605.5480282,620.9601252,628.6167706
Industrial processes,345.5535488,326.0892924,332.0631492,331.4930129,343.7214028,374.7160828,387.2082708,392.4433049,400.7870309,395.7275732,394.3832072,356.1409767,365.2329557,351.1343076,364.7556365,365.6646864,374.5484213,392.6463922,369.3448584,320.8974312,362.5110375,379.5010091,367.6341844,368.0878142,378.8390016,375.4104537,367.9738083,367.6988805,371.2754021,373.707966
Waste,216.1668463,219.297564,219.9727478,218.4876669,219.2743868,214.731578,211.7414603,202.7388963,193.9813998,188.4683131,185.7547246,181.011127,180.0773007,182.9626434,180.9588097,178.0151815,176.353398,174.4238362,172.1744912,169.3730034,170.5273983,162.1554109,164.2903222,160.7584257,160.5795999,159.7865492,157.084691,159.0421534,161.0781955,163.7482027
Land use and forestry,-900.795926,-898.6078317,-886.1978056,-867.4508914,-883.4846944,-855.3152076,-871.1405687,-855.8249298,-862.7995637,-856.5689307,-853.9585546,-852.2780939,-815.678211,-837.0410758,-735.1411299,-788.0528392,-847.2917272,-798.8000689,-791.6895433,-756.2421532,-783.8844994,-800.5630251,-806.9830903,-788.5489401,-798.5114647,-763.8489949,-842.8059195,-766.064027,-801.4363768,-789.2274022
Gross total,6442.650626,6373.621135,6486.343836,6604.349889,6691.822829,6775.860245,6981.165376,7036.50804,7083.269267,7125.399029,7313.616493,7202.956514,7244.301889,7301.36318,7415.471108,7423.031031,7344.462848,7449.616025,7224.64898,6772.000071,6991.106343,6827.402421,6585.907766,6764.66911,6824.956709,6671.112065,6520.337839,6483.291331,6671.449401,6558.345179
Net total,5541.8547,5475.013303,5600.146031,5736.898998,5808.338135,5920.545037,6110.024807,6180.68311,6220.469703,6268.830098,6459.657938,6350.67842,6428.623678,6464.322105,6680.329978,6634.978191,6497.17112,6650.815956,6432.959437,6015.757918,6207.221843,6026.839395,5778.924675,5976.12017,6026.445244,5907.26307,5677.53192,5717.227304,5870.013024,5769.117777
