"Emissions by Gas, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Carbon dioxide,5113.454675101325,5057.930940153547,5167.480846929416,5267.343060455802,5358.824047616289,5421.502465236587,5610.58158895115,5686.464995313006,5731.049594855526,5804.668919227857,6010.508353457982,5904.881595436626,5946.770566283088,6011.837495441483,6114.006879970759,6134.521473296765,6051.668045592923,6131.004158448992,5914.077765899618,5478.209685714277,5675.786435196968,5540.173478491238,5338.698344400394,5474.256770345012,5522.807202092802,5371.770556895991,5248.023931239786,5207.751278006028,5375.490613738983,5255.816206804568
Methane,776.8726946683801,781.7794325256949,780.5191391390775,770.7101488146924,777.032031511505,767.6972343590826,760.8084721237025,746.7573329982775,731.6675491930225,713.3514431371651,707.563471992305,699.8203866752575,692.825189158325,692.7144405567874,686.9920531439925,686.1127523868649,690.8032039734151,693.893135045115,700.8481198831901,689.6782403165399,692.1493948273551,666.17252923354,658.1596916028825,654.4062432380374,651.02725747947,651.5346553940251,642.3895340140251,648.382337414965,655.936228867095,659.7127028500549
Nitrous oxide,452.65752405135373,443.2294433567734,443.06610792608757,471.2931578396372,456.990572462653,468.8077338249425,480.7696896521594,466.8448935270903,467.6968266758906,457.479569223001,444.6504904221964,460.3639272654435,458.84194632586195,459.79678258368966,469.8864432993404,455.83983873336604,452.4777040849062,463.5413425785662,446.9016410963998,445.5758540631816,454.9508453750142,445.57509650775626,416.7644560355752,463.8587878022294,473.9887756304778,468.2441147643812,450.7922626670444,446.2714651406106,459.2117503684062,457.1415185403588
Fluorinated gases,99.66573255212188,90.6813189049889,95.2777423531209,95.00352238747611,98.9761778119097,117.85281124565171,129.0056254288824,136.4408180889626,152.8552960778357,149.8990972929796,150.89417703038322,137.8906041550696,145.864186988392,137.0144618265512,144.5857314152421,146.5569662071104,149.51389387811,161.1773888518591,162.82145321750843,158.5362912124701,168.2196671547284,175.48131635510148,172.28527370530392,172.1473084103988,177.13347380395368,179.5627378493288,179.13211116925748,180.88625023354635,180.81080780014832,185.6747512719144
Total,6442.650626373181,6373.621134941004,6486.343836347701,6604.349889497608,6691.8228294023575,6775.8602446662635,6981.165376155894,7036.508039927336,7083.2692668022755,7125.399028881003,7313.616492902866,7202.956513532397,7244.301888755666,7301.363180408511,7415.471107829334,7423.031030624107,7344.462847529354,7449.616024924532,7224.6489800967165,6772.000071306468,6991.106342554066,6827.402420587636,6585.907765744154,6764.669109795677,6824.956709006704,6671.112064903727,6520.337839090113,6483.291330795149,6671.449400774632,6558.345179466895
