,0,inv_costs,sim_name
0,3908809.161633525,0.0,b
1,3932737.4485751507,33534.18370248659,b
2,3903002.361735796,4269.46568706955,b
3,3911903.223720113,28238.928119474134,b
4,3897390.651120072,2606.7362720298993,b
5,3928908.0872101537,37803.649389556136,b
6,3937581.209782935,61773.11182196073,b
7,3922087.371175093,36140.91997451649,b
8,3912505.3836834054,32508.393806543685,b
9,3893324.555957388,6876.2019590994505,b
10,3902899.7818913646,30845.664391504033,b
11,3934550.021171744,66042.57750903028,b
12,3917148.7119163238,40410.38566158604,b
13,3929651.6340676653,64379.84809399062,b
14,3898446.3296108395,35115.13007857359,b
15,3927317.630769409,68649.31378106018,b
