,0,1,2,sim_name
0,2.0,0.0,0.0,b
1,0.0,0.0,0.0,b
2,12.16896,0.0,0.0,b
3,11.61119,0.0,0.0,b
4,0.0,0.0,0.0,b
5,0.0,0.0,0.0,b
6,127.93609,0.0,0.0,b
7,64.94304,0.0,0.0,b
8,0.60102,0.0,0.0,b
9,0.0,0.0,0.0,b
10,9.6015,22.3985,0.0,b
11,0.12139,0.58399,0.0,b
12,0.03176,0.70378,0.0,b
13,0.0,0.0,0.0,b
14,0.0,0.0,0.0,b
15,0.0,0.0,0.0,b
16,0.0,35.03835,0.0,b
17,0.0,0.0,0.0,b
18,0.45144,0.54856,0.0,b
19,0.0,0.0,0.0,b
20,2.54171,0.0,3.45829,b
21,2.67702,0.0,1.32298,b
22,0.0,0.0,0.0,b
23,0.0,0.0,0.0,b
24,1.08578,0.0,0.2727,b
25,0.0,0.0,0.0,b
26,0.0,0.0,14.31126,b
27,0.0,0.0,4.69749,b
28,1.11829,0.0,0.88171,b
29,0.0,0.0,0.0,b
30,2.0,0.0,0.0,b
31,0.0,0.0,0.0,b
32,3.99694,0.0,0.0,b
33,11.29837,0.0,0.0,b
34,0.0,0.0,0.0,b
35,0.0,0.0,0.0,b
36,127.87687,0.0,0.0,b
37,64.94926,0.0,0.0,b
38,0.0,0.0,0.0,b
39,0.0,0.0,0.0,b
40,9.93013,22.06987,0.0,b
41,0.26478,1.68499,0.0,b
42,0.22275,1.8696,0.0,b
43,0.0,0.0,0.0,b
44,0.0,0.0,0.0,b
45,0.0,0.0,0.0,b
46,0.0,35.34459,0.0,b
47,0.0,0.0,0.0,b
48,0.07834,0.92166,0.0,b
49,0.0,0.0,0.0,b
50,2.16843,0.0,3.48137,b
51,3.36861,0.0,0.63139,b
52,0.0,0.0,0.0,b
53,0.0,0.0,0.0,b
54,0.0,0.0,0.0,b
55,0.0,0.0,0.0,b
56,0.0,0.0,14.02242,b
57,0.0,0.0,4.71793,b
58,1.24606,0.0,0.75394,b
59,0.0,0.0,0.0,b
60,0.0,0.0,0.0,b
61,0.0,0.0,0.0,b
62,0.0,0.0,0.0,b
63,0.23369,0.0,0.0,b
64,0.0,0.0,0.0,b
65,0.0,0.0,0.0,b
66,127.41196,0.0,0.0,b
67,60.65276,0.0,0.0,b
68,0.0,0.0,0.0,b
69,0.0,0.0,0.0,b
70,4.55585,25.39777,0.52768,b
71,0.0,0.0,0.0,b
72,0.0,0.0,0.0,b
73,0.0,0.0,0.0,b
74,0.0,0.0,0.0,b
75,0.0,0.0,0.0,b
76,0.0,34.90184,0.0,b
77,0.0,0.0,0.0,b
78,0.0,0.0,0.0,b
79,0.0,0.0,0.0,b
80,0.0,0.0,0.0,b
81,1.65981,2.34019,0.0,b
82,0.0,0.0,0.0,b
83,0.0,0.0,0.0,b
84,0.0,0.0,0.0,b
85,0.0,0.0,0.0,b
86,0.0,0.0,11.85686,b
87,0.0,0.0,0.0,b
88,0.09082,0.6664,0.0,b
89,0.0,0.0,0.0,b
90,2.0,0.0,0.0,b
91,10.32419,0.0,0.0,b
92,18.0,0.0,0.0,b
93,17.5642,0.0,0.0,b
94,1.5506,0.0,0.0,b
95,0.0,0.0,0.0,b
96,128.0,0.0,0.0,b
97,67.49486,0.0,0.0,b
98,12.0,0.0,0.0,b
99,0.0,0.0,0.0,b
100,5.79981,26.20019,0.0,b
101,3.25443,2.17839,0.0,b
102,1.03998,1.96002,0.0,b
103,0.0,6.27642,0.0,b
104,0.0,0.0,0.0,b
105,0.0,0.0,0.0,b
106,0.0,35.92447,0.0,b
107,0.0,3.50133,0.0,b
108,0.0,1.0,0.0,b
109,0.0,0.0,0.0,b
110,1.97398,0.0,4.02602,b
111,2.63175,0.0,1.36825,b
112,0.07766,0.0,0.41678,b
113,0.0,0.0,0.0,b
114,1.84343,0.0,11.15657,b
115,0.31283,0.0,0.30129,b
116,0.07957,0.0,14.89157,b
117,0.0,0.0,9.582,b
118,0.97831,0.0,1.02169,b
119,0.0,0.0,0.0,b
120,0.0,0.0,0.0,b
121,0.0,0.0,0.0,b
122,0.0,0.0,0.0,b
123,0.0,0.0,0.0,b
124,0.0,0.0,0.0,b
125,0.0,0.0,0.0,b
126,127.40183,0.0,0.0,b
127,60.43493,0.0,0.0,b
128,0.0,0.0,0.0,b
129,0.0,0.0,0.0,b
130,7.4075,10.65839,1.53865,b
131,0.0,0.0,0.0,b
132,0.0,0.0,0.0,b
133,0.0,0.0,0.0,b
134,0.0,0.0,0.0,b
135,0.0,0.0,0.0,b
136,0.0,34.38235,0.0,b
137,0.0,0.0,0.0,b
138,0.0,0.0,0.0,b
139,0.0,0.0,0.0,b
140,0.0,0.0,0.0,b
141,2.59922,0.72697,0.0,b
142,0.0,0.0,0.0,b
143,0.0,0.0,0.0,b
144,0.0,0.0,0.0,b
145,0.0,0.0,0.0,b
146,0.0,0.0,12.81029,b
147,0.0,0.0,0.0,b
148,0.0,0.0,0.0,b
149,0.0,0.0,0.0,b
150,2.0,0.0,0.0,b
151,0.0,0.0,0.0,b
152,0.24472,0.0,0.0,b
153,8.86122,0.0,0.0,b
154,0.0,0.0,0.0,b
155,0.0,0.0,0.0,b
156,127.76468,0.0,0.0,b
157,64.02998,0.0,0.0,b
158,0.0,0.0,0.0,b
159,0.0,0.0,0.0,b
160,5.47802,26.52198,0.0,b
