,0,inv_costs,sim_name
0,4401453.645733236,0.0,e
1,4455327.775107429,33534.18370248659,e
2,4417787.615932411,4269.46568706955,e
3,4408996.100247217,28238.928119474134,e
4,4364721.1367375525,2606.7362720298993,e
5,4416991.603142297,37803.649389556136,e
6,4455343.3594793305,61773.11182196073,e
7,4416047.427328315,36140.91997451649,e
8,4402750.640251783,32508.393806543685,e
9,4359213.254143251,6876.2019590994505,e
10,4384024.2005449915,30845.664391504033,e
11,4442207.200697406,66042.57750903028,e
12,4389331.937348435,40410.38566158604,e
13,4427547.008460223,64379.84809399062,e
14,4392789.778577017,35115.13007857359,e
15,4416795.778286303,68649.31378106018,e
