,0,inv_costs,sim_name
0,3702758.711922563,0.0,f
1,3736115.8938117656,33534.18370248659,f
2,3706372.6458067386,4269.46568706955,f
3,3713240.7472313643,28238.928119474134,f
4,3695569.710051368,2606.7362720298993,f
5,3732157.777168615,37803.649389556136,f
6,3741580.4714234318,61773.11182196073,f
7,3723251.36705756,36140.91997451649,f
8,3702406.5320810373,32508.393806543685,f
9,3693438.559632373,6876.2019590994505,f
10,3701199.74526355,30845.664391504033,f
11,3739281.8200949035,66042.57750903028,f
12,3721502.7325918265,40410.38566158604,f
13,3735168.2207056363,64379.84809399062,f
14,3698189.094973789,35115.13007857359,f
15,3729116.4807568467,68649.31378106018,f
