,0,inv_costs,sim_name
0,5547369.9351431,0.0,h
1,5555665.346719409,3353.418370248659,h
2,5535627.608092228,426.946568706955,h
3,5511969.478610401,2823.8928119474135,h
4,5531659.402215077,260.6736272029899,h
5,5537050.423358152,3780.364938955614,h
6,5521647.327540372,6177.311182196073,h
7,5531488.96159342,3614.0919974516487,h
8,5499475.791309872,3250.8393806543686,h
9,5530404.889620787,687.620195909945,h
10,5492821.032934536,3084.5664391504033,h
11,5500454.216380467,6604.257750903028,h
12,5526903.867126456,4041.0385661586038,h
13,5496024.075782752,6437.984809399062,h
14,5482128.898674826,3511.5130078573584,h
15,5475381.796201682,6864.931378106017,h
