,0,inv_costs,sim_name
0,7341156.577972447,0.0,j
1,7362505.582940216,33534.18370248659,j
2,7330026.806633447,4269.46568706955,j
3,7307241.716074412,28238.928119474134,j
4,7320704.564560381,2606.7362720298993,j
5,7359760.777119086,37803.649389556136,j
6,7325029.765065924,61773.11182196073,j
7,7349326.003742932,36140.91997451649,j
8,7296468.941718391,32508.393806543685,j
9,7312406.82224523,6876.2019590994505,j
10,7288312.702337396,30845.664391504033,j
11,7315362.229977257,66042.57750903028,j
12,7340604.916859676,40410.38566158604,j
13,7313707.696102251,64379.84809399062,j
14,7285494.7479790365,35115.13007857359,j
15,7307546.075976645,68649.31378106018,j
