,0,1,2,sim_name
0,0.0,0.0,0.0,i
1,0.03051,0.0,0.0,i
2,13.79124,0.0,0.0,i
3,11.87887,0.0,0.0,i
4,0.0,0.0,0.0,i
5,0.0,0.0,0.0,i
6,127.97052,0.0,0.0,i
7,64.98257,0.0,0.0,i
8,2.49789,0.0,0.0,i
9,0.0,0.0,0.0,i
10,9.69014,22.30986,0.0,i
11,0.46203,1.42153,0.0,i
12,0.0,0.0,0.0,i
13,0.0,0.0,0.0,i
14,0.0,0.0,0.0,i
15,0.0,0.0,0.0,i
16,0.0,34.97287,0.0,i
17,0.0,0.0,0.0,i
18,0.26983,0.73017,0.0,i
19,0.0,0.0,0.0,i
20,0.0,0.0,0.0,i
21,3.2597,0.0,0.7403,i
22,0.0,0.0,0.0,i
23,0.0,0.0,0.0,i
24,3.93576,0.0,7.03672,i
25,0.0,0.0,0.0,i
26,0.01542,0.0,14.63214,i
27,0.0,0.0,3.4881,i
28,1.07024,0.0,0.92976,i
29,0.0,0.0,0.0,i
30,0.0,0.0,0.0,i
31,0.07668,0.0,0.0,i
32,6.64038,0.0,0.0,i
33,11.67549,0.0,0.0,i
34,0.0,0.0,0.0,i
35,0.0,0.0,0.0,i
36,127.91525,0.0,0.0,i
37,65.0332,0.0,0.0,i
38,0.0,0.0,0.0,i
39,0.0,0.0,0.0,i
40,7.9741,24.0259,0.0,i
41,1.5067,3.08294,0.0,i
42,0.0,0.05377,0.0,i
43,0.0,1.40525,0.0,i
44,0.0,0.0,0.0,i
45,0.0,0.0,0.0,i
46,0.0,35.30202,0.0,i
47,0.0,0.0,0.0,i
48,0.59251,0.40749,0.0,i
49,0.0,0.0,0.0,i
50,0.0,0.0,0.0,i
51,2.85588,0.0,1.14412,i
52,0.0,0.0,0.0,i
53,0.0,0.0,0.0,i
54,4.01477,0.0,4.77101,i
55,0.0,0.0,0.0,i
56,0.06049,0.0,14.56925,i
57,0.0,0.0,4.95876,i
58,1.50191,0.0,0.49809,i
59,0.0,0.0,0.0,i
60,0.0,0.0,0.0,i
61,0.0,0.0,0.0,i
62,0.0,0.0,0.0,i
63,0.0,0.0,0.0,i
64,0.0,0.0,0.0,i
65,0.0,0.0,0.0,i
66,127.49595,0.0,0.0,i
67,60.14459,0.0,0.0,i
68,0.0,0.0,0.0,i
69,0.0,0.0,0.0,i
70,7.52458,20.57054,0.27999,i
71,0.0,0.0,0.0,i
72,0.0,0.0,0.0,i
73,0.0,0.0,0.0,i
