,0,inv_costs,sim_name
0,6447506.99140348,0.0,i
1,6434242.769852785,3353.418370248659,i
2,6437102.619756979,426.946568706955,i
3,6399190.111127392,2823.8928119474135,i
4,6430126.696129048,260.6736272029899,i
5,6431585.731431627,3780.364938955614,i
6,6388503.669163158,6177.311182196073,i
7,6414199.840930209,3614.0919974516487,i
8,6388688.567648359,3250.8393806543686,i
9,6419568.860466299,687.620195909945,i
10,6382383.539266916,3084.5664391504033,i
11,6383685.64869117,6604.257750903028,i
12,6411297.3317205915,4041.0385661586038,i
13,6378241.219493166,6437.984809399062,i
14,6375096.366729799,3511.5130078573584,i
15,6369187.096058661,6864.931378106017,i
