,0,inv_costs,sim_name
0,3908809.161633525,0.0,b
1,3902556.683242913,3353.418370248659,b
2,3899159.8426174335,426.946568706955,b
3,3886488.188412586,2823.8928119474135,b
4,3895044.588475245,260.6736272029899,b
5,3894884.8027595533,3780.364938955614,b
6,3881985.409143171,6177.311182196073,b
7,3889560.543198028,3614.0919974516487,b
8,3883247.829257516,3250.8393806543686,b
9,3887135.9741941984,687.620195909945,b
10,3875138.683939011,3084.5664391504033,b
11,3875111.701413617,6604.257750903028,b
12,3880779.364820896,4041.0385661586038,b
13,3871709.7707830737,6437.984809399062,b
14,3866842.712540123,3511.5130078573584,b
15,3865533.2483664546,6864.931378106017,b
