,0,inv_costs,sim_name
0,4100369.4280064185,0.0,c
1,4105026.6409209818,3353.418370248659,c
2,4102403.156225579,426.946568706955,c
3,4091986.5494372225,2823.8928119474135,c
4,4098117.4869034495,260.6736272029899,c
5,4097707.0947698485,3780.364938955614,c
6,4079421.207690874,6177.311182196073,c
7,4098193.3416300374,3614.0919974516487,c
8,4087253.024153536,3250.8393806543686,c
9,4091516.6949762637,687.620195909945,c
10,4084966.503814633,3084.5664391504033,c
11,4074126.6032460644,6604.257750903028,c
12,4090784.9948327295,4041.0385661586038,c
13,4072839.031224926,6437.984809399062,c
14,4073897.0833185893,3511.5130078573584,c
15,4062067.999289393,6864.931378106017,c
