,0,inv_costs,sim_name
0,4293176.821791758,0.0,d
1,4283473.861547005,3353.418370248659,d
2,4282776.363004352,426.946568706955,d
3,4263060.325771646,2823.8928119474135,d
4,4257138.158476855,260.6736272029899,d
5,4280649.490773822,3780.364938955614,d
6,4246823.829647177,6177.311182196073,d
7,4275183.136474634,3614.0919974516487,d
8,4251203.739065675,3250.8393806543686,d
9,4248153.86317332,687.620195909945,d
10,4236211.185707276,3084.5664391504033,d
11,4235589.304583462,6604.257750903028,d
12,4248056.802586356,4041.0385661586038,d
13,4252596.5333161475,6437.984809399062,d
14,4237343.5299049625,3511.5130078573584,d
15,4242908.420921352,6864.931378106017,d
