,0,inv_costs,sim_name
0,6447506.99140348,0.0,i
1,6464423.535185023,33534.18370248659,i
2,6440945.138875341,4269.46568706955,i
3,6424605.146434919,28238.928119474134,i
4,6432472.7587738745,2606.7362720298993,i
5,6465609.015882227,37803.649389556136,i
6,6444099.469802923,61773.11182196073,i
7,6446726.668907273,36140.91997451649,i
8,6417946.122074248,32508.393806543685,i
9,6425757.442229488,6876.2019590994505,i
10,6410144.637219269,30845.664391504033,i
11,6443123.968449297,66042.57750903028,i
12,6447666.67881602,40410.38566158604,i
13,6436183.082777757,64379.84809399062,i
14,6406699.9838005155,35115.13007857359,i
15,6430971.478461616,68649.31378106018,i
