,0,inv_costs,sim_name
0,4293176.821791758,0.0,d
1,4313654.626879243,33534.18370248659,d
2,4286618.882122714,4269.46568706955,d
3,4288475.361079172,28238.928119474134,d
4,4259484.221121681,2606.7362720298993,d
5,4314672.775224422,37803.649389556136,d
6,4302419.630286941,61773.11182196073,d
7,4307709.964451698,36140.91997451649,d
8,4280461.293491565,32508.393806543685,d
9,4254342.444936509,6876.2019590994505,d
10,4263972.283659629,30845.664391504033,d
11,4295027.624341589,66042.57750903028,d
12,4284426.149681784,40410.38566158604,d
13,4310538.396600739,64379.84809399062,d
14,4268947.146975679,35115.13007857359,d
15,4304692.803324306,68649.31378106018,d
