,0,inv_costs,sim_name
0,5547369.9351431,0.0,h
1,5585846.112051647,33534.18370248659,h
2,5539470.12721059,4269.46568706955,h
3,5537384.513917928,28238.928119474134,h
4,5534005.464859903,2606.7362720298993,h
5,5571073.707808752,37803.649389556136,h
6,5577243.128180136,61773.11182196073,h
7,5564015.789570484,36140.91997451649,h
8,5528733.345735761,32508.393806543685,h
9,5536593.471383977,6876.2019590994505,h
10,5520582.130886889,30845.664391504033,h
11,5559892.536138594,66042.57750903028,h
12,5563273.2142218845,40410.38566158604,h
13,5553965.939067343,64379.84809399062,h
14,5513732.515745543,35115.13007857359,h
15,5537166.178604636,68649.31378106018,h
