,0,1,2,sim_name
0,0.61153,0.0,0.0,h
1,0.0,0.0,0.0,h
2,13.77415,0.0,0.0,h
3,11.61488,0.0,0.0,h
4,0.0,0.0,0.0,h
5,0.0,0.0,0.0,h
6,127.94761,0.0,0.0,h
7,64.91305,0.0,0.0,h
8,1.14715,0.0,0.0,h
9,0.0,0.0,0.0,h
10,10.09829,21.90171,0.0,h
11,0.48131,1.40364,0.0,h
12,0.0,0.0,0.0,h
13,0.0,0.0,0.0,h
14,0.0,0.0,0.0,h
15,0.0,0.0,0.0,h
16,0.0,34.92453,0.0,h
17,0.0,0.0,0.0,h
18,0.06463,0.93537,0.0,h
19,0.0,0.0,0.0,h
20,0.0,0.0,0.0,h
21,3.27695,0.0,0.72305,h
22,0.0,0.0,0.0,h
23,0.0,0.0,0.0,h
24,4.32516,0.0,6.52572,h
25,0.0,0.0,0.0,h
26,0.03743,0.0,14.62194,h
27,0.0,0.0,4.14094,h
28,0.82905,0.0,1.17095,h
29,0.0,0.0,0.0,h
30,1.10489,0.0,0.0,h
31,0.0,0.0,0.0,h
32,5.19682,0.0,0.0,h
33,11.43702,0.0,0.0,h
34,0.0,0.0,0.0,h
35,0.0,0.0,0.0,h
36,127.88584,0.0,0.0,h
37,64.99444,0.0,0.0,h
38,0.0,0.0,0.0,h
39,0.0,0.0,0.0,h
40,8.17166,23.82834,0.0,h
41,1.42115,2.79669,0.0,h
42,0.0,0.40589,0.0,h
43,0.0,0.96844,0.0,h
44,0.0,0.0,0.0,h
45,0.0,0.0,0.0,h
46,0.0,35.36621,0.0,h
47,0.0,0.0,0.0,h
48,0.5387,0.4613,0.0,h
49,0.0,0.0,0.0,h
50,0.0,0.0,0.0,h
51,3.16149,0.0,0.83851,h
52,0.0,0.0,0.0,h
53,0.0,0.0,0.0,h
54,3.82916,0.0,4.7713,h
55,0.0,0.0,0.0,h
56,0.05877,0.0,14.5815,h
57,0.0,0.0,5.95526,h
58,1.24572,0.0,0.75428,h
59,0.0,0.0,0.0,h
60,0.0,0.0,0.0,h
61,0.0,0.0,0.0,h
62,0.0,0.0,0.0,h
63,0.0,0.0,0.0,h
64,0.0,0.0,0.0,h
65,0.0,0.0,0.0,h
66,127.46864,0.0,0.0,h
67,60.24395,0.0,0.0,h
68,0.0,0.0,0.0,h
69,0.0,0.0,0.0,h
70,6.016,22.36095,0.0,h
71,0.0,0.0,0.0,h
72,0.0,0.0,0.0,h
73,0.0,0.0,0.0,h
74,0.0,0.0,0.0,h
75,0.0,0.0,0.0,h
76,0.0,34.55317,0.0,h
77,0.0,0.0,0.0,h
78,0.0,0.0,0.0,h
79,0.0,0.0,0.0,h
80,0.0,0.0,0.0,h
81,0.88993,2.96592,0.14415,h
82,0.0,0.0,0.0,h
83,0.0,0.0,0.0,h
84,0.0,0.0,0.0,h
85,0.0,0.0,0.0,h
86,0.0,0.0,11.66079,h
87,0.0,0.0,0.0,h
88,0.21462,1.65265,0.13273,h
89,0.0,0.0,0.0,h
90,2.0,0.0,0.0,h
91,9.20675,0.0,0.0,h
92,18.0,0.0,0.0,h
93,17.13585,0.0,0.0,h
94,1.73706,0.0,0.0,h
95,0.0,0.0,0.0,h
96,128.0,0.0,0.0,h
97,67.18981,0.0,0.0,h
98,12.0,0.0,0.0,h
99,0.0,0.0,0.0,h
100,4.88368,27.11632,0.0,h
101,4.13746,2.50905,0.0,h
102,1.06108,1.69978,0.0,h
103,0.0,6.56707,0.0,h
104,0.0,0.0,0.0,h
105,0.0,0.0,0.0,h
106,0.0,35.63041,0.0,h
107,0.0,0.0,0.0,h
108,0.0,1.0,0.0,h
109,0.0,0.0,0.0,h
110,2.10042,0.0,3.89958,h
111,2.80031,0.0,1.19969,h
112,0.05637,0.0,0.84264,h
113,0.0,0.0,0.0,h
114,1.34032,0.0,11.65968,h
115,0.34099,0.0,0.33936,h
116,0.05105,0.0,14.94895,h
117,0.0,0.0,7.75692,h
118,0.93804,0.0,1.06196,h
119,0.0,0.0,0.0,h
120,0.0,0.0,0.0,h
121,0.0,0.0,0.0,h
122,0.0,0.0,0.0,h
123,0.0,0.0,0.0,h
124,0.0,0.0,0.0,h
125,0.0,0.0,0.0,h
126,127.47571,0.0,0.0,h
127,60.19436,0.0,0.0,h
128,0.0,0.0,0.0,h
129,0.0,0.0,0.0,h
130,6.10921,7.92654,0.66979,h
131,0.0,0.0,0.0,h
132,0.0,0.0,0.0,h
133,0.0,0.0,0.0,h
134,0.0,0.0,0.0,h
135,0.0,0.0,0.0,h
136,0.0,34.05603,0.0,h
137,0.0,0.0,0.0,h
138,0.0,0.0,0.0,h
139,0.0,0.0,0.0,h
140,0.0,0.0,0.0,h
141,2.51882,1.30353,0.17765,h
142,0.0,0.0,0.0,h
143,0.0,0.0,0.0,h
144,0.0,0.0,0.0,h
145,0.0,0.0,0.0,h
146,0.0,0.0,12.50879,h
147,0.0,0.0,0.0,h
148,0.84007,0.87126,0.28867,h
149,0.0,0.0,0.0,h
150,0.0,0.0,0.0,h
151,0.0,0.0,0.0,h
152,0.60084,0.0,0.0,h
153,10.46446,0.0,0.0,h
154,0.0,0.0,0.0,h
155,0.0,0.0,0.0,h
156,127.82387,0.0,0.0,h
157,64.67519,0.0,0.0,h
158,0.0,0.0,0.0,h
159,0.0,0.0,0.0,h
160,5.9233,26.0767,0.0,h
161,1.623,2.37822,0.0,h
162,0.79801,1.48414,0.0,h
163,0.0,2.47727,0.0,h
164,0.0,0.0,0.0,h
165,0.0,0.0,0.0,h
166,0.0,35.56589,0.0,h
167,0.0,0.0,0.0,h
168,0.90904,0.09096,0.0,h
169,0.0,0.0,0.0,h
170,0.0,0.0,0.0,h
171,3.50522,0.0,0.49478,h
172,0.0,0.0,0.0,h
173,0.0,0.0,0.0,h
174,2.68986,0.0,1.62645,h
175,0.0,0.0,0.0,h
176,0.03797,0.0,14.24037,h
177,0.0,0.0,5.17873,h
178,1.48445,0.0,0.51555,h
179,0.0,0.0,0.0,h
180,0.0,0.0,0.0,h
181,0.0,0.0,0.0,h
182,0.0,0.0,0.0,h
183,0.59389,0.0,0.0,h
184,0.0,0.0,0.0,h
185,0.0,0.0,0.0,h
186,127.55176,0.0,0.0,h
187,60.44712,0.0,0.0,h
188,0.0,0.0,0.0,h
189,0.0,0.0,0.0,h
190,7.93644,22.72945,1.33412,h
191,0.0,0.0,0.0,h
192,0.0,0.0,0.0,h
193,0.0,0.0,0.0,h
