,0,inv_costs,sim_name
0,4646354.89999359,0.0,g
1,4643042.344862893,3353.418370248659,g
2,4637256.156970433,426.946568706955,g
3,4629506.209001919,2823.8928119474135,g
4,4631459.1767524,260.6736272029899,g
5,4640766.668355878,3780.364938955614,g
6,4614019.839760843,6177.311182196073,g
7,4629826.420881938,3614.0919974516487,g
8,4614224.997099916,3250.8393806543686,g
9,4617629.066522614,687.620195909945,g
10,4608579.399746523,3084.5664391504033,g
11,4606294.501462957,6604.257750903028,g
12,4621684.827053242,4041.0385661586038,g
13,4599313.791161509,6437.984809399062,g
14,4607532.155226792,3511.5130078573584,g
15,4596749.015407312,6864.931378106017,g
