,0,1,2,sim_name
0,2.0,0.0,0.0,g
1,0.0,0.0,0.0,g
2,12.14,0.0,0.0,g
3,11.65092,0.0,0.0,g
4,0.0,0.0,0.0,g
5,0.0,0.0,0.0,g
6,127.93598,0.0,0.0,g
7,64.96338,0.0,0.0,g
8,0.6359,0.0,0.0,g
9,0.0,0.0,0.0,g
10,9.6337,22.3663,0.0,g
11,0.28134,0.43363,0.0,g
12,0.23309,0.50018,0.0,g
13,0.0,0.0,0.0,g
14,0.0,0.0,0.0,g
15,0.0,0.0,0.0,g
16,0.0,34.83237,0.0,g
17,0.0,0.0,0.0,g
18,0.20478,0.79522,0.0,g
19,0.0,0.0,0.0,g
20,2.68765,0.0,3.31235,g
21,3.01929,0.0,0.98071,g
22,0.0,0.0,0.03532,g
23,0.0,0.0,0.0,g
24,0.22232,0.0,0.935,g
25,0.17039,0.0,0.11536,g
26,0.03339,0.0,14.4146,g
27,0.0,0.0,3.55284,g
28,0.94165,0.0,1.05835,g
29,0.0,0.0,0.0,g
30,2.0,0.0,0.0,g
31,4.0658,0.0,0.0,g
32,2.46315,0.0,0.0,g
33,13.49566,0.0,0.0,g
34,0.0,0.0,0.0,g
35,0.0,0.0,0.0,g
36,127.87175,0.0,0.0,g
37,66.07247,0.0,0.0,g
38,0.0,0.0,0.0,g
39,0.0,0.0,0.0,g
40,8.76821,23.23179,0.0,g
41,0.34682,1.28933,0.0,g
42,0.50516,1.00548,0.0,g
43,0.0,0.0,0.0,g
44,0.0,0.0,0.0,g
45,0.0,0.0,0.0,g
46,0.0,35.6631,0.0,g
47,0.0,1.62791,0.0,g
48,0.0,1.0,0.0,g
49,0.0,0.0,0.0,g
50,2.28001,0.0,3.05609,g
51,3.1682,0.0,0.8318,g
52,0.0,0.0,0.0,g
53,0.0,0.0,0.0,g
54,0.21983,0.0,0.0,g
55,0.0,0.0,0.0,g
56,0.0,0.0,14.44033,g
57,0.0,0.0,8.68853,g
58,1.53179,0.0,0.46821,g
59,0.0,0.0,0.0,g
60,0.0,0.0,0.0,g
61,0.0,0.0,0.0,g
62,0.0,0.0,0.0,g
63,8.16032,0.0,0.0,g
64,0.0,0.0,0.0,g
65,0.0,0.0,0.0,g
66,127.66312,0.0,0.0,g
67,63.95765,0.0,0.0,g
68,0.0,0.0,0.0,g
69,0.0,0.0,0.0,g
70,2.65469,23.39521,0.50719,g
71,0.0,0.0,0.0,g
72,0.0,0.0,0.0,g
73,0.0,0.0,0.0,g
74,0.0,0.0,0.0,g
75,0.0,0.0,0.0,g
76,0.0,35.48078,0.0,g
77,0.0,0.0,0.0,g
78,0.0,0.0,0.0,g
79,0.0,0.0,0.0,g
80,0.0,0.0,0.0,g
81,1.26642,2.73358,0.0,g
82,0.0,0.0,0.0,g
83,0.0,0.0,0.0,g
84,0.0,0.0,0.0,g
85,0.0,0.0,0.0,g
86,0.0,0.0,12.39576,g
87,0.0,0.0,0.0,g
