,0,inv_costs,sim_name
0,4646354.89999359,0.0,g
1,4673223.110195131,33534.18370248659,g
2,4641098.676088795,4269.46568706955,g
3,4654921.244309446,28238.928119474134,g
4,4633805.239397226,2606.7362720298993,g
5,4674789.952806478,37803.649389556136,g
6,4669615.640400607,61773.11182196073,g
7,4662353.248859002,36140.91997451649,g
8,4643482.551525806,32508.393806543685,g
9,4623817.648285803,6876.2019590994505,g
10,4636340.497698876,30845.664391504033,g
11,4665732.821221084,66042.57750903028,g
12,4658054.17414867,40410.38566158604,g
13,4657255.654446101,64379.84809399062,g
14,4639135.772297509,35115.13007857359,g
15,4658533.397810266,68649.31378106018,g
