,0,inv_costs,sim_name
0,3702758.711922563,0.0,f
1,3705935.128479528,3353.418370248659,f
2,3702530.126688376,426.946568706955,f
3,3687825.7119238377,2823.8928119474135,f
4,3693223.647406541,260.6736272029899,f
5,3698134.4927180144,3780.364938955614,f
6,3685984.6707836674,6177.311182196073,f
7,3690724.539080495,3614.0919974516487,f
8,3673148.977655148,3250.8393806543686,f
9,3687249.9778691833,687.620195909945,f
10,3673438.647311196,3084.5664391504033,f
11,3679843.5003367765,6604.257750903028,f
12,3685133.385496399,4041.0385661586038,f
13,3677226.3574210447,6437.984809399062,f
14,3666585.4779030727,3511.5130078573584,f
15,3667332.0983538926,6864.931378106017,f
