,0,inv_costs,sim_name
0,4100369.4280064185,0.0,c
1,4135207.4062532196,33534.18370248659,c
2,4106245.6753439414,4269.46568706955,c
3,4117401.584744749,28238.928119474134,c
4,4100463.5495482767,2606.7362720298993,c
5,4131730.379220449,37803.649389556136,c
6,4135017.0083306385,61773.11182196073,c
7,4130720.1696071024,36140.91997451649,c
8,4116510.5785794253,32508.393806543685,c
9,4097705.2767394534,6876.2019590994505,c
10,4112727.601766987,30845.664391504033,c
11,4133564.9230041914,66042.57750903028,c
12,4127154.341928157,40410.38566158604,c
13,4130780.8945095176,64379.84809399062,c
14,4105500.7003893056,35115.13007857359,c
15,4123852.381692347,68649.31378106018,c
